"DBN","Poverty","district","School Name","Borough","Building Code","Student Enrollment","SAT_Math","SAT_Reading","SAT_Writing","Longitude","Latitude","district_SAT_Math_Avg","district_SAT_Reading_Avg","district_SAT_Writing_Avg","district_SAT_Avg"
"01M292","89.0",1,"Henry Street School for International Studies","Manhattan","M056",255,410,406,381,-73.986336,40.713684,505,474,469,1448
"01M448","89.5",1,"University Neighborhood High School","Manhattan","M446",304,437,355,352,-73.984497,40.712399,505,474,469,1448
"01M450","74.2",1,"East Side Community School","Manhattan","M060",666,454,428,445,-73.982555,40.729589,505,474,469,1448
"01M509","86.0",1,"Marta Valle High School","Manhattan","M025",363,438,413,394,-73.985645,40.720581,505,474,469,1448
"01M539","28.2",1,"New Explorations into Science, Technology and Math High School","Manhattan","M022",1735,657,601,601,-73.979308,40.718895,505,474,469,1448
"01M696","35.0",1,"Bard High School Early College","Manhattan","M097",545,634,641,639,-73.975891,40.719029,505,474,469,1448
"02M288","79.4",2,"Food and Finance High School","Manhattan","M535",427,428,435,421,-73.992953,40.765184,459,447,440,1346
"02M294","68.7",2,"Essex Street Academy","Manhattan","M445",358,395,411,387,-73.989337,40.716778,459,447,440,1346
"02M296","90.1",2,"High School of Hospitality Management","Manhattan","M535",424,451,433,424,-73.992953,40.765184,459,447,440,1346
"02M298","80.9",2,"Pace High School","Manhattan","M131",423,430,435,427,-73.993092,40.716553,459,447,440,1346
"02M300","80.9",2,"Urban Assembly School of Design and Construction","Manhattan","M535",414,445,417,403,-73.992953,40.765184,459,447,440,1346
"02M303","100.0",2,"Facing History School","Manhattan","M535",406,366,356,371,-73.992953,40.765184,459,447,440,1346
"02M305","82.4",2,"Urban Assembly Academy of Government and Law","Manhattan","M445",329,389,395,381,-73.989337,40.716778,459,447,440,1346
"02M308","100.0",2,"Lower Manhattan Arts Academy","Manhattan","M445",383,418,428,415,-73.989337,40.716778,459,447,440,1346
"02M316","81.5",2,"Urban Assembly School of Business for Young Women","Manhattan","M282",405,418,420,417,-74.013302,40.70568,459,447,440,1346
"02M374","72.6",2,"Gramercy Arts High School","Manhattan","M460",530,446,459,455,-73.987659,40.735494,459,447,440,1346
"02M376","45.9",2,"NYC iSchool","Manhattan","M615",442,518,515,503,-74.004625,40.7244,459,447,440,1346
"02M392","77.4",2,"Manhattan Business Academy","Manhattan","M440",438,410,407,399,-74.002136,40.742867,459,447,440,1346
"02M393","100.0",2,"Business of Sports School","Manhattan","M625",449,395,386,371,-73.990593,40.76337,459,447,440,1346
"02M399","85.8",2,"High School for Language and Diplomacy","Manhattan","M460",437,446,433,411,-73.987659,40.735494,459,447,440,1346
"02M400","74.4",2,"High School for Environmental Studies","Manhattan","M834",1301,469,454,444,-73.987531,40.767791,459,447,440,1346
"02M407","18.9",2,"Institute for Collaborative Education","Manhattan","M475",482,501,550,541,-73.983031,40.732447,459,447,440,1346
"02M408","33.4",2,"Professional Performing Arts High School","Manhattan","M017",536,496,520,516,-73.988019,40.761448,459,447,440,1346
"02M411","59.6",2,"Baruch College Campus High School","Manhattan","M874",451,592,526,531,-73.986521,40.74193,459,447,440,1346
"02M412","35.8",2,"NYC Lab School for Collaborative Studies","Manhattan","M070",587,595,550,555,-74.002198,40.742129,459,447,440,1346
"02M413","37.7",2,"School of the Future High School","Manhattan","M660",713,534,533,522,-73.985479,40.738952,459,447,440,1346
"02M414","72.8",2,"NYC Museum School","Manhattan","M070",471,560,530,522,-74.002198,40.742129,459,447,440,1346
"02M416","24.6",2,"Eleanor Roosevelt High School","Manhattan","M855",541,641,617,631,-73.953608,40.770187,459,447,440,1346
"02M418","43.6",2,"Millennium High School","Manhattan","M824",659,577,560,567,-74.011556,40.704487,459,447,440,1346
"02M419","88.5",2,"Landmark High School","Manhattan","M440",355,386,386,386,-74.002136,40.742867,459,447,440,1346
"02M420","100.0",2,"High School for Health Professions and Human Services","Manhattan","M475",1664,452,445,430,-73.983031,40.732447,459,447,440,1346
"02M425","75.8",2,"Leadership and Public Service High School","Manhattan","M894",699,390,396,392,-74.012332,40.70873,459,447,440,1346
"02M427","85.3",2,"Manhattan Academy for Arts and Language","Manhattan","M620",334,350,334,321,-73.981241,40.746176,459,447,440,1346
"02M437","81.2",2,"Hudson High School of Learning Technologies","Manhattan","M440",483,378,407,388,-74.002136,40.742867,459,447,440,1346
"02M438","87.8",2,"International High School at Union Square","Manhattan","M460",353,403,330,316,-73.987659,40.735494,459,447,440,1346
"02M439","75.9",2,"Manhattan Village Academy","Manhattan","M873",415,522,479,510,-73.991512,40.741497,459,447,440,1346
"02M449","75.5",2,"Vanguard High School","Manhattan","M480",486,431,409,396,-73.960059,40.765359,459,447,440,1346
